coaster_name,Length,Speed,Location,Status,Opening date,Type,Manufacturer,Height restriction,Model,Height,Inversions,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,G-force,Designer,Max vertical angle,Drop,Soft opening date,Fast Lane available,Replaced,Track layout,Fastrack available,Soft opening date.1,Closing date,Opened,Replaced by,Website,Flash Pass Available,Must transfer from wheelchair,Theme,Single rider line available,Restraint Style,Flash Pass available,Acceleration,Restraints,Name,year_introduced,latitude,longitude,Type_Main,opening_date_clean,speed1,speed2,speed1_value,speed1_unit,speed_mph,height_value,height_unit,height_ft,Inversions_clean,Gforce_clean
Arkham Asylum – Shock Therapy,"765 m (2,510 ft)",88 km/h (55 mph),Warner Bros. Movie World,SBNO December 2019,26 December 19957 April 2012,Steel – Inverted,Vekoma,140 cm (4 ft 7 in),Suspended Looping Coaster (765m Extended w/ Helix),33.3 m (109 ft),5.0,Chain lift hill,"A$16,000,000",2 trains with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,,1:42,1010 riders per hour,4,Vekoma,,,,,,,,,December 2019,,,,,,,,,,,,,1995-01-01,-27.9083,153.3119,Steel,1995-12-26,88 km/h ,55 mph,88.0,km/h,54.7,33.3,m,109.3,5,4.0
The Gold Coaster,"900 m (3,000 ft)",85 km/h (53 mph),Other,,,Steel,Arrow Dynamics,120–205 cm (3 ft 11 in–6 ft 9 in),,40 m (130 ft),2.0,Chain lift hill,,Single train with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Ocean Parade,,400 riders per hour,3,,,,,,,,,,27 January 2001,,,Official website,,,Circa 1970s Gold Coast,,,,,,,1995-01-01,,,Steel,,85 km/h ,53 mph,85.0,km/h,52.8,40.0,m,131.2,2,3.0
Dragon Khan,"1,285 m (4,216 ft)",104.6 km/h (65.0 mph),PortAventura Park,Operating,"May 2, 1995",Steel,Bolliger & Mabillard,140–195 cm (4 ft 7 in–6 ft 5 in),Sitting Coaster,45.1 m (148 ft),8.0,Chain lift hill,,,,1:45,,4,John Wardley (layout) Ing.-Büro Stengel GmbH (mechanical role),,49.1 m (161 ft),,,,,,,,,,,,,,,,,,,,1995-01-01,41.0875,1.1608,Steel,1995-05-02,104.6 km/h ,65.0 mph,104.6,km/h,65.0,45.1,m,148.0,8,4.0
Flight Deck (Canada's Wonderland),"689.01 m (2,260.5 ft)",79.99 km/h (49.70 mph),Canada's Wonderland,Operating,1995[1],Steel – Inverted,Vekoma,132–198 cm (4 ft 4 in–6 ft 6 in),SLC (689m Standard),33.31 m (109.3 ft),5.0,Chain lift,,2 trains with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,Grande World Exposition of 1890,1:28,1040 riders per hour,,,,,,Fast Lane available,,,,,,,,,,,,,,,,,,1995-01-01,43.8412,-79.539,Steel,1995-01-01,79.99 km/h ,49.70 mph,79.99,km/h,49.7,33.31,m,109.3,5,
Backyardigans: Mission to Mars,207 m (679 ft),34.9 km/h (21.7 mph),Movie Park Germany,Operating,30 June 199619 March 20052008,Steel – Junior,Vekoma,99 cm (3 ft 3 in),Junior Coaster (207m),8.5 m (28 ft),0.0,,,Single train with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,Nickland,0:44,780 riders per hour,,,,,29 June 1996,,,,,29 June 1996,31 October 20042007,,,,,,,,,,,,,1996-01-01,51.6198,6.976,Steel,1996-06-30,34.9 km/h ,21.7 mph,34.9,km/h,21.7,8.5,m,27.9,0,
The Barnstormer,207 m (679 ft),40.2 km/h (25.0 mph),Magic Kingdom,Operating,"October 1, 1996 (Barnstormer)March 12, 2012 (Great Goofini)",Steel – Junior,Vekoma,35 in (89 cm),Junior Coaster (Custom),9.1 m (30 ft),0.0,Chain lift hill,,2 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,Fantasyland - Storybook Circus,1:00,,,Walt Disney Imagineering,,,,,,,,,"February 12, 2011 (Barnstormer)",,,,,Must transfer from wheelchair,,,,,,,,1996-01-01,28.4205,-81.5784,Steel,1996-10-01,40.2 km/h ,25.0 mph,40.2,km/h,25.0,9.1,m,29.9,0,
The Barnstormer at Goofy's Wiseacre Farm,207 m (679 ft),40.2 km/h (25.0 mph),Magic Kingdom,Operating,"October 1, 1996 (Barnstormer)March 12, 2012 (Great Goofini)",Steel – Junior,Vekoma,35 in (89 cm),Junior Coaster (Custom),9.1 m (30 ft),0.0,Chain lift hill,,2 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,Fantasyland - Storybook Circus,1:00,,,Walt Disney Imagineering,,,,,,,,,"February 12, 2011 (Barnstormer)",,,,,Must transfer from wheelchair,,,,,,,,1996-01-01,28.4205,-81.5784,Steel,1996-10-01,40.2 km/h ,25.0 mph,40.2,km/h,25.0,9.1,m,29.9,0,
Pyrenees (roller coaster),"1,234 m (4,049 ft)",100 km/h (62 mph),Parque Espana-Shima Spain Village,Operating,1997,Steel – Inverted,Bolliger & Mabillard,130 cm (4 ft 3 in),Inverted Coaster,45 m (148 ft),6.0,,,8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,1:53,,,Werner Stengel,,,,,,,,,,,,,,,,,,,,,,1997-01-01,34.3598,136.845,Steel,1997-01-01,100 km/h ,62 mph,100.0,km/h,62.1,45.0,m,147.6,6,
Tower of Terror II,"376.4 m (1,235 ft)",160.9 km/h (100.0 mph),Dreamworld,Removed,23 January 1997Tower of Terror),Steel – Launched – Shuttle,Intamin,120 cm (3 ft 11 in),Reverse Freefall Coaster,115 m (377 ft),0.0,Linear synchronous motor,"A$16,000,000",,Main Street,28 seconds,,4.5,,90°,108.3 m (355 ft),,,,,,,3 November 2019Tower of Terror ll),,,,,,,,,,0 to 160.9 km/h (0 to 100 mph) in 7 seconds,,,1997-01-01,-27.8641,153.3174,Steel,1997-01-23,160.9 km/h ,100.0 mph,160.9,km/h,100.0,115.0,m,377.3,0,4.5
Oblivion (roller coaster),"373 m (1,224 ft)",110 km/h (68 mph),Alton Towers,Operating,14 March 1998,Steel – Dive Coaster,Bolliger & Mabillard,140 cm (4 ft 7 in),Dive Coaster,19.8 m (65 ft),0.0,Chain lift hill,£12 million,7 trains with 2 cars. Riders are arranged 8 across in a single row for a total of 16 riders per train.,X-Sector,1:15,"1,900 riders per hour",4.5,Werner Stengel,87.5°,54.8 m (180 ft),,,,,Fastrack available,,,,,Official website,,,,,,,,,,1998-01-01,52.9866,-1.8965,Steel,1998-03-14,110 km/h ,68 mph,110.0,km/h,68.4,19.8,m,65.0,0,4.5
Roller Coaster (Dam Sen Park),"500 m (1,600 ft)",70 km/h (43 mph),Dam Sen Cultural Park,Operating,1998,Steel,Hebei Zhongye Metallurgical Equipment,54 in (137 cm),,24 m (79 ft),3.0,Chain lift,VND 20 billions,,B Area,1:30,960 riders per hour,3.8,,50°,23 m (75 ft),,,,,,,,,,,,,,,,,,,,1998-01-01,10.7605,106.6368,Steel,1998-01-01,70 km/h ,43 mph,70.0,km/h,43.5,24.0,m,78.7,3,3.8
Bandit (Movie Park Germany),"1,099 m (3,606 ft)",80 km/h (50 mph),Movie Park Germany,Operating,1999,Wood,Roller Coaster Corporation of America,120 cm (3 ft 11 in),Cyclone,27.8 m (91 ft),0.0,,,2 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,The Old West,1:30,,,Ing.-Büro Stengel GmbH,,24.9 m (82 ft),,,,,,,,,,,,,,,,,,,,1999-01-01,51.6242,6.9754,Wood,1999-01-01,80 km/h ,50 mph,80.0,km/h,49.7,27.8,m,91.2,0,
Flying Dutchman Gold Mine,"370 m (1,210 ft)",45 km/h (28 mph),Other,,,Steel – Wild Mouse,Mack Rides,,Wild Mouse (compact park),14 m (46 ft),0.0,,,10 trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,,1:25,1120 riders per hour,,,,,,,,Wild Mouse,,,2010,,,,,,,,,,,,,2000-01-01,,,Steel,,45 km/h ,28 mph,45.0,km/h,28.0,14.0,m,45.9,0,
Ghost Chasers (roller coaster),"370 m (1,210 ft)",45 km/h (28 mph),Movie Park Germany,Operating,2000,Steel – Wild Mouse,Mack Rides,,Wild Mouse (compact park),14 m (46 ft),0.0,,,,Nickland,1:50,1120 riders per hour,,,,,,,,,,,,,,,,,,,,,,,,2000-01-01,51.6195,6.9765,Steel,2000-01-01,45 km/h ,28 mph,45.0,km/h,28.0,14.0,m,45.9,0,
Linnunrata,300 m (980 ft),40 km/h (25 mph),Linnanmäki,Operating,1 May 2000[1],Steel – Enclosed,Zierer,120–195 cm (3 ft 11 in–6 ft 5 in),Force – Custom,7 m (23 ft),0.0,,,,,1:00,800 riders per hour,,Werner Stengel,,,,,Indiana's Adventure(formerly Safari),,,,,,,,,,,,,,,,,2000-01-01,60.1878,24.94,Steel,2000-05-01,40 km/h ,25 mph,40.0,km/h,24.9,7.0,m,23.0,0,
Road Runner Rollercoaster,"335 m (1,099 ft)",45.9 km/h (28.5 mph),Warner Bros. Movie World,,,Steel – Junior,Vekoma,,Junior Coaster (335m),13 m (43 ft),0.0,,AU$9 million,2 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,,1:06,1000 riders per hour,,,,,,,Looney Tunes Musical Revue,,,,,,,,,,,,,,,,Correcaminos Bip Bip,2000-01-01,,,Steel,,45.9 km/h ,28.5 mph,45.9,km/h,28.5,13.0,m,42.7,0,
Roller Coaster (Suoi Tien Park),"1,200 m (3,900 ft)",70 km/h (43 mph),Suoi Tien Amusement Park,Operating,2000,Steel,Vekoma,48 in (122 cm),,30 m (98 ft),0.0,Drive tire,VND 30 billions,,Đại Cung Lạc Cảnh Hồ,2:30,1600 riders per hour,2.0,,45°,12 m (39 ft),,,,,,,,,,,,,,,,,,,,2000-01-01,10.8607,106.8044,Steel,2000-01-01,70 km/h ,43 mph,70.0,km/h,43.5,30.0,m,98.4,0,2.0
Steel Dragon 2000,"2,479 m (8,133 ft)",152.9 km/h (95.0 mph),Nagashima Spa Land,Operating,1 August 2000,Steel,D. H. Morgan Manufacturing,140–185 cm (4 ft 7 in–6 ft 1 in),,97 m (318 ft),0.0,One lift hill with two chains,"$52,000,000 USD",Multiple trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,4:00,,,Steve Okamoto,68°,93.5 m (307 ft),,,,Out and back,,,,,,,,,,,,,,,,2000-01-01,35.0312,136.7301,Steel,2000-08-01,152.9 km/h ,95.0 mph,152.9,km/h,95.0,97.0,m,318.2,0,
Colossos - Kampf der Giganten,"1,344 m (4,409 ft)",110 km/h (68 mph),Heide Park,Operating,"April 13, 2001",Wood,Intamin,55 in (140 cm),Wooden Coaster (prefabricated track),50.0 m (164.0 ft),0.0,Chain lift hill,,,Land der Vergessenen,2:25,"1,030 riders per hour","-1,5g and 4,5g",Werner Stengel,61°,48.5 m (159 ft),,,,Out and back,,,,,,,,,,,,,,,,2001-01-01,53.0231,9.8833,Wood,2001-04-13,110 km/h ,68 mph,110.0,km/h,68.4,50.0,m,164.0,0,4.5
Déjà Vu (roller coaster),"367 m (1,204 ft)",105.6 km/h (65.6 mph),Other,In Production,,Other,Vekoma,,,59 m (194 ft),,,,,,About 1:32 minutes,870 riders per hour,,,,54 m (177 ft),,,,,,,,,,,,,,,Over-the-shoulder,,,,,2001-01-01,,,Other,,105.6 km/h ,65.6 mph,105.6,km/h,65.6,59.0,m,193.6,0,
Do-Dodonpa,"1,244 m (4,081 ft)",180 km/h (110 mph),Fuji-Q Highland,Closed,21 December 2001,Steel,S&S – Sansei Technologies,130 cm (4 ft 3 in),Air-Launched Coaster,49 m (161 ft),1.0,Compressed air launch,,4 trains with 4 cars. Riders are arranged 2 across in a single row for a total of 8 riders per train.,,,80 riders per hour,,,,,,,,,,,,,,,,,,,,,0 to 180 km/h (0 to 112 mph) in 1.6 seconds,,,2001-01-01,35.4877,138.7823,Steel,2001-12-21,180 km/h ,110 mph,180.0,km/h,111.8,49.0,m,160.8,1,
Giant Inverted Boomerang,"367 m (1,204 ft)",105.6 km/h (65.6 mph),Other,In Production,,Other,Vekoma,,,59 m (194 ft),,,,,,About 1:32 minutes,870 riders per hour,,,,54 m (177 ft),,,,,,,,,,,,,,,Over-the-shoulder,,,,,2001-01-01,,,Other,,105.6 km/h ,65.6 mph,105.6,km/h,65.6,59.0,m,193.6,0,
The Gold Coaster,"900 m (3,000 ft)",85 km/h (53 mph),Other,,,Steel,Arrow Dynamics,120–205 cm (3 ft 11 in–6 ft 9 in),,40 m (130 ft),2.0,Chain lift hill,,Single train with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Ocean Parade,,400 riders per hour,3,,,,,,,,,,27 January 2001,,,Official website,,,Circa 1970s Gold Coast,,,,,,,2001-01-01,,,Steel,,85 km/h ,53 mph,85.0,km/h,52.8,40.0,m,131.2,2,3.0
Lego Technic Test Track,"400 m (1,300 ft)",56.3 km/h (35.0 mph),Other,,,Steel – Wild Mouse,Mack Rides,,Wild Mouse (large park),15.8 m (52 ft),0.0,Chain lift hill,,Several trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,,1:35,,,,,15.2 m (50 ft),,,,,,,,,,,,,,,,,,,Das große LEGO-Rennen,2001-01-01,,,Steel,,56.3 km/h ,35.0 mph,56.3,km/h,35.0,15.8,m,51.8,0,
MP Xpress,"689 m (2,260 ft)",80 km/h (50 mph),Movie Park Germany,Operating,"April 6, 2001",Steel – Inverted,Vekoma,,Suspended Looping Coaster (689m Standard),33.3 m (109 ft),5.0,,,2 trains with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,The Old West,1:36,1040 riders per hour,,,,,,,,,,,,,,,,,,,,,,,,2001-01-01,51.6246,6.9733,Steel,2001-04-06,80 km/h ,50 mph,80.0,km/h,49.7,33.3,m,109.3,5,
Escape from Madagascar,"342 m (1,122 ft)",41.8 km/h (26.0 mph),Dreamworld,Operating,26 December 2002,Steel – Suspended Family Coaster,Vekoma,110 cm (3 ft 7 in),Suspended Family Coaster (342m),14.9 m (49 ft),0.0,Drive tire lift hill,,Single train with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,DreamWorks Experience - Madagascar Madness,1:30,650 riders per hour,2.2,,,,,,,,,,,,,,,,,,,,,,,2002-01-01,-27.8639,153.3169,Steel,2002-12-26,41.8 km/h ,26.0 mph,41.8,km/h,26.0,14.9,m,48.9,0,2.2
Galactica (roller coaster),"840 m (2,760 ft)",75 km/h (47 mph),Alton Towers,Operating,16 March 2002,Steel – Flying,Bolliger & Mabillard,140 cm (4 ft 7 in),Flying Coaster,20 m (66 ft),2.0,Chain lift hill,£12 million,3 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,Forbidden Valley,1:40,"1,500 riders per hour",3.5,John Wardley,,,,,,Custom,,,,,,,,,,,,,,,,2002-01-01,52.9859,-1.8821,Steel,2002-03-16,75 km/h ,47 mph,75.0,km/h,46.6,20.0,m,65.6,2,3.5
Goliath (Walibi Holland),"1,214 m (3,983 ft)",106 km/h (66 mph),Walibi Holland,Operating,"March 29, 2002",Steel,Intamin,140 cm (4 ft 7 in),,47.17 m (154.8 ft),0.0,Cable lift hill,,2 trains with 8 cars. Riders are arranged 2 across in 2 rows for a total of 32 riders per train.,Speed Zone,1:32,,,Ing.-Büro Stengel GmbH,70°,46.31 m (151.9 ft),,,,,,,,,,,,,,,,,,,,2002-01-01,52.4386,5.7614,Steel,2002-03-29,106 km/h ,66 mph,106.0,km/h,65.9,47.17,m,154.8,0,
Lego Technic Test Track,"400 m (1,300 ft)",56.3 km/h (35.0 mph),Other,,,Steel – Wild Mouse,Mack Rides,,Wild Mouse (large park),15.8 m (52 ft),0.0,Chain lift hill,,Several trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,,1:35,,,,,15.2 m (50 ft),,,,,,,,,,,,,,,,,,,Das große LEGO-Rennen,2002-01-01,,,Steel,,56.3 km/h ,35.0 mph,56.3,km/h,35.0,15.8,m,51.8,0,
Rugrats Runaway Reptar (Dreamworld),"342 m (1,122 ft)",41.8 km/h (26.0 mph),Dreamworld,Operating,26 December 2002,Steel – Suspended Family Coaster,Vekoma,110 cm (3 ft 7 in),Suspended Family Coaster (342m),14.9 m (49 ft),0.0,Drive tire lift hill,,Single train with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,DreamWorks Experience - Madagascar Madness,1:30,650 riders per hour,2.2,,,,,,,,,,,,,,,,,,,,,,,2002-01-01,-27.8639,153.3169,Steel,2002-12-26,41.8 km/h ,26.0 mph,41.8,km/h,26.0,14.9,m,48.9,0,2.2
Scooby-Doo Spooky Coaster,"530 m (1,740 ft)",44.6 km/h (27.7 mph),Warner Bros. Movie World,Operating,17 June 2002[1],Steel – Wild Mouse – Enclosed,Mack Rides,110 cm (3 ft 7 in),Custom,17 m (56 ft),0.0,Vertical Elevator Lift,"A$13,000,000[1]",18 trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,,4:13,1000 riders per hour,2.4,Warner Bros. Movie World,,10 m (33 ft),,,Warner Bros. Classics & Great Gremlins Adventure,,,,,,,,,,,,,,,,,2002-01-01,-27.9078,153.3111,Steel,2002-06-17,44.6 km/h ,27.7 mph,44.6,km/h,27.7,17.0,m,55.8,0,2.4
Silver Star (roller coaster),"1,620 m (5,310 ft)",127 km/h (79 mph),Europa-Park,Operating,23 March 2002,Steel,Bolliger & Mabillard,55 in (140 cm),Hypercoaster,73 m (240 ft),0.0,Chain lift hill,,,France,,"1,750 riders per hour",4,,68.5°,67 m (220 ft),,,,Out and Back,,,,,,,,,,,,,,,,2002-01-01,48.268,7.72,Steel,2002-03-23,127 km/h ,79 mph,127.0,km/h,78.9,73.0,m,239.5,0,4.0
Balder (roller coaster),"1,070 m (3,510 ft)",90 km/h (56 mph),Liseberg,Operating,12 April 2003,Wood,Intamin,130 cm (4 ft 3 in),Wooden Coaster (Prefabricated Track),36 m (118 ft),0.0,1 chain lift hill,"100 million SEK (=approx. $12,6 million)",2 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,,2:08,"1,200 riders per hour",,Ingenieurbüro Stengel GmbH,70°,30.5 m (100 ft),,,,,,,,,,,,,,,,,,,,2003-01-01,57.6933,11.9961,Wood,2003-04-12,90 km/h ,56 mph,90.0,km/h,55.9,36.0,m,118.1,0,
Nemesis Inferno,"750 m (2,460 ft)",80 km/h (50 mph),Thorpe Park,Operating,5 April 2003,Steel – Inverted,Bolliger & Mabillard,140 cm (4 ft 7 in),Inverted Coaster – Custom,29 m (95 ft),4.0,Chain lift hill,£8 million,2 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,The Jungle,1:43,"1,150 riders per hour",5,John Wardley & Werner Stengel & Jordan Forster,,28 m (92 ft),,,Mr. Rabbit's Tropical Travels,,Fastrack available,,,,,,,,,,,,,,,2003-01-01,51.4035,-0.5164,Steel,2003-04-05,80 km/h ,50 mph,80.0,km/h,49.7,29.0,m,95.1,4,5.0
Thunder Dolphin,"1,066 m (3,497 ft)",130 km/h (81 mph),Tokyo Dome City Attractions,Operating,"May 1, 2003",Steel,Intamin,130 cm (4 ft 3 in),Mega Coaster,80 m (260 ft),0.0,Cable lift hill,"$37,000,000",,LaQua,1:30,"1,660 riders per hour",4.4,Werner Stengel,80°,66 m (217 ft),,,,,,,,,,,,,,,,,,,,2003-01-01,35.7063,139.7533,Steel,2003-05-01,130 km/h ,81 mph,130.0,km/h,80.8,80.0,m,262.5,0,4.4
Vild-Svinet,"428 m (1,404 ft)",72.4 km/h (45.0 mph),BonBon-Land,Operating,16 May 2003,Steel – Euro-Fighter,Gerstlauer,140 cm (4 ft 7 in),,22 m (72 ft),1.0,,,4 trains with a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,,1:00,,,Werner Stengel,97°,,,,,,,,,,,,,,,,,,,,,2003-01-01,55.2611,11.8634,Steel,2003-05-16,72.4 km/h ,45.0 mph,72.4,km/h,45.0,22.0,m,72.2,1,
Booster Bike,"594 m (1,949 ft)",75 km/h (47 mph),Toverland,Operating,"July 27, 2004",Steel – Motorbike – Launched,Vekoma,55 in (140 cm),Motorbike Coaster (600m),15 m (49 ft),0.0,,,Single train with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,,1:08,,2.5,Vekoma,,,,,,Out and Back,,,,,,,,,,,,,"""0 to 46.6 mph (0 to 75 km/h) in 3 seconds"".",,,2004-01-01,51.3975,5.9842,Steel,2004-07-27,75 km/h ,47 mph,75.0,km/h,46.6,15.0,m,49.2,0,2.5
Dæmonen,"564 m (1,850 ft)",77 km/h (48 mph),Tivoli Gardens,Operating,16 April 2004,Steel – Floorless Coaster,Bolliger & Mabillard,132 cm (4 ft 4 in),Floorless Coaster,28 m (92 ft),3.0,Chain lift hill,75 million DKK (€10 M),2 trains with 6 cars. Riders are arranged 4 across in a single row for a total of 24 riders per train.,,1:46,"1,200 riders per hour",4,,,20 m (66 ft),,,Slangen,Twister,,,,,,,,,,,,,,,,2004-01-01,55.6728,12.5703,Steel,2004-04-16,77 km/h ,48 mph,77.0,km/h,47.8,28.0,m,91.9,3,4.0
Spinball Whizzer,"470 m (1,540 ft)",60 km/h (37 mph),Alton Towers,Operating,27 March 2004,Steel – Spinning,Maurer AG,120–195[2] cm (3 ft 11 in–6 ft 5 in),SC 2200[1],17 m (56 ft),0.0,Chain lift hill,"£3,500,000",,The Towers,1:15,950 riders per hour,,,,,,,,,,,,,,,,,,,,,,,,2004-01-01,52.9889,-1.8946,Steel,2004-03-27,60 km/h ,37 mph,60.0,km/h,37.3,17.0,m,55.8,0,
