coaster_name,Length,Speed,Location,Status,Opening date,Type,Manufacturer,Height restriction,Model,Height,Inversions,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,G-force,Designer,Max vertical angle,Drop,Soft opening date,Fast Lane available,Replaced,Track layout,Fastrack available,Soft opening date.1,Closing date,Opened,Replaced by,Website,Flash Pass Available,Must transfer from wheelchair,Theme,Single rider line available,Restraint Style,Flash Pass available,Acceleration,Restraints,Name,year_introduced,latitude,longitude,Type_Main,opening_date_clean,speed1,speed2,speed1_value,speed1_unit,speed_mph,height_value,height_unit,height_ft,Inversions_clean,Gforce_clean
Dragonfly (roller coaster),"361 m (1,184 ft)",50 km/h (31 mph),Duinrell,Operating,31 March 2012,Steel,Gerstlauer,100 cm (3 ft 3 in),,15 m (49 ft),0.0,,,Single train with a single car. Riders are arranged 4 across in a single row for a total of 4 riders per train.,,1:23 minutes,750 riders per hour,2.9,,97°,,,,,,,,,,,,,,,,,,,,,2012-01-01,52.1472,4.3785,Steel,2012-03-31,50 km/h ,31 mph,50.0,km/h,31.1,15.0,m,49.2,0,2.9
Lego Technic Test Track,"400 m (1,300 ft)",56.3 km/h (35.0 mph),Other,,,Steel – Wild Mouse,Mack Rides,,Wild Mouse (large park),15.8 m (52 ft),0.0,Chain lift hill,,Several trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,,1:35,,,,,15.2 m (50 ft),,,,,,,,,,,,,,,,,,,Das große LEGO-Rennen,2012-01-01,,,Steel,,56.3 km/h ,35.0 mph,56.3,km/h,35.0,15.8,m,51.8,0,
Leviathan (Canada's Wonderland),"1,672 m (5,486 ft)",148 km/h (92 mph),Canada's Wonderland,Operating,6 May 2012[2],Steel,Bolliger & Mabillard,137–203 cm (4 ft 6 in–6 ft 8 in),Hyper coaster,93.3 m (306 ft),0.0,Chain lift hill,"US$28,000,000",,Medieval Faire,3:28,1650 riders per hour,4.5,Werner Stengel[3],80°,93.3 m (306 ft),27 April 2012[1],,,Out and Back,,27 April 2012[1],,,,,,Must transfer from wheelchair,,,,,,Lap bar and seat belt,,2012-01-01,43.8445,-79.5424,Steel,2012-05-06,148 km/h ,92 mph,148.0,km/h,92.0,93.3,m,306.1,0,4.5
Polar X-plorer,,65 km/h (40 mph),Legoland Billund,Operating,29 April 2012,Steel,Zierer,,Elevated Seating Coaster,20 m (66 ft),0.0,Chain lift hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-01-01,55.737,9.1218,Steel,2012-04-29,65 km/h ,40 mph,65.0,km/h,40.4,20.0,m,65.6,0,
Shambhala (roller coaster),"1,564 m (5,131 ft)",134 km/h (83 mph),PortAventura Park,Operating,12 May 2012,Other,Bolliger & Mabillard,55 in (140 cm),Hyper Coaster,76 m (249 ft),0.0,Chain lift hill,,3 trains with 8 cars. Riders are arranged 2 across in 2 rows for a total of 32 riders per train.,China,3:00,"1,680 riders per hour",3.8,,77.4°,78 m (256 ft),,,,,,,,,,,,,,,,,,,,2012-01-01,41.0847,1.1564,Other,2012-05-12,134 km/h ,83 mph,134.0,km/h,83.3,76.0,m,249.3,0,3.8
The Swarm (roller coaster),"775 m (2,543 ft)",59 mph (95 km/h),Thorpe Park,Operating,15 March 2012,Steel – Wing Coaster,Bolliger & Mabillard,140–196 cm (4 ft 7 in–6 ft 5 in),Custom,38.6 m (127 ft),5.0,Chain lift hill,,2 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,Swarm Island,1:15,"1,100 riders per hour",4.5,,,,,,,,Fastrack available,,,,,,,,,,,,,,,2012-01-01,51.4056,-0.5154,Steel,2012-03-15,59 mph ,95 km/h,59.0,mph,59.0,38.6,m,126.6,5,4.5
Abyss (roller coaster),"630 m (2,070 ft)",85 km/h (53 mph),Adventure World,Operating,1 November 2013,Steel – Euro-Fighter,Gerstlauer,125 cm (4 ft 1 in),Euro-Fighter – Custom,30 m (98 ft),3.0,Chain lift hill,A$12 million,4 trains with a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,,2 minutes,,4.5,,100°,30.5 m (100 ft),,,,Custom,,,,,,,,,,,,,,,,2013-01-01,-32.0955,115.817,Steel,2013-11-01,85 km/h ,53 mph,85.0,km/h,52.8,30.0,m,98.4,3,4.5
Karacho,"700 m (2,300 ft)",90 km/h (56 mph),Erlebnispark Tripsdrill,Operating,10 July 2013,Steel – Launched,Gerstlauer,125 cm (4 ft 1 in),Infinity Coaster,30 m (98 ft),4.0,Linear synchronous motor launch,"€7,000,000",,,,960 riders per hour,,Imaginvest,,,,,,,,,,,,,,,,,,,0 to 90 km/h (0 to 56 mph) in 1.6 seconds,,,2013-01-01,49.0377,9.0544,Steel,2013-07-10,90 km/h ,56 mph,90.0,km/h,55.9,30.0,m,98.4,4,
Ring Racer,"1,212 m (3,976 ft)",160.0 km/h (99.4 mph),Nürburgring,Closed,31 October 2013,Steel – Launched,S&S - Sansei Technologies,55 in (140 cm),High-Thrill coaster,37.5 m (123 ft),,Pneumatic launch,,,,85 seconds,400 riders per hour,5.6,,,,,,,Raceway-style oval layout,,,4 November 2013,,,,,,,,,,0 to 99.4 mph (0 to 160 km/h) in 2 seconds,,,2013-01-01,50.3361,6.9492,Steel,2013-10-31,160.0 km/h ,99.4 mph,160.0,km/h,99.4,37.5,m,123.0,0,5.6
Storm Coaster,"470 m (1,540 ft)",70 km/h (43 mph),Sea World (Australia),Operating,6 December 2013,Steel,Mack Rides,110 cm (3 ft 7 in),Water Coaster,28 m (92 ft),0.0,Chain lift hill,AU$20 million,6 trains with a single car. Riders are arranged 2 across in 4 rows for a total of 8 riders per train.,,2 minutes[1],,3 Gs[2],,,,2 December 2013,,Bermuda Triangle,Water Coaster,,2 December 2013,,,,,,,,,,,,,,2013-01-01,-27.9563,153.4258,Steel,2013-12-06,70 km/h ,43 mph,70.0,km/h,43.5,28.0,m,91.9,0,3.0
Alpina Blitz,"719 m (2,359 ft)",83 km/h (52 mph),Nigloland,Operating,12 April 2014,Steel,Mack Rides,,,33 m (108 ft),0.0,Chain lift hill,"€8,000,000",2 trains with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,2014-01-01,48.2617,4.6149,Steel,2014-04-12,83 km/h ,52 mph,83.0,km/h,51.6,33.0,m,108.3,0,4.3
Arthur – The Ride,"550 m (1,800 ft)",31 km/h (19 mph),Europa-Park,Operating,June 2014,Steel – Inverted – Powered,Mack Rides,100 cm (3 ft 3 in),,13.5 m (44 ft),0.0,,€25 million,9 trains with a single car. Riders are arranged 4 across in 3 rows for a total of 12 riders per train.,ARTHUR - In the Minimoys Kingdom,4 minutes,"1,600 riders per hour",,,,,,,,,,,,,,,,,,Single rider line available,,,,,,2014-01-01,48.2639,7.7237,Steel,2014-06-01,31 km/h ,19 mph,31.0,km/h,19.3,13.5,m,44.3,0,
Flug der Dämonen,"772 m (2,533 ft)",100 km/h (62 mph),Heide Park Resort,Operating,"March 29, 2014",Steel – Wing Coaster,Bolliger & Mabillard,140–195 cm (4 ft 7 in–6 ft 5 in),Wing Coaster,40 m (130 ft),5.0,Chain lift hill,"€15,000,000 ($USD19.9 million)",2 trains with 6 cars. Riders are arranged 4 across in a single row for a total of 24 riders per train.,Transsilvanien,0:52 minutes,1060 riders per hour,4,,,,,,Wildwasserbahn II,,,,,,,,,,,Single rider line available,,,,,,2014-01-01,53.0262,9.8796,Steel,2014-03-29,100 km/h ,62 mph,100.0,km/h,62.1,40.0,m,131.2,5,4.0
Helix (roller coaster),"1,381 m (4,531 ft)",100 km/h (62 mph),Liseberg,Operating,26 April 2014,Steel – Launched,Mack Rides,51 in (130 cm),,41 m (135 ft),7.0,2 linear motors,"approx. 239,000,000 SEK",3 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,,2:10,"1,350 riders per hour",4.3 g,Ing.-Büro Stengel GmbH,,,,,,,,,,,,,,,,,,,,,,2014-01-01,57.6953,11.9908,Steel,2014-04-26,100 km/h ,62 mph,100.0,km/h,62.1,41.0,m,134.5,7,4.3
Scorpion Express,259 m (850 ft),22.4 mph (36.0 km/h),Chessington World of Adventures,Operating,7 June 1987 as Runaway Train 19 March 2014 as Scorpion Express,Steel – Powered,Mack Rides,90 cm (2 ft 11 in),Blauer Enzian,4.7 m (15 ft),0.0,,"GB£300,000 (equivalent to £850,047 in 2019)",Single train with 10 cars. Riders are arranged 2 across in 2 rows for a total of 40 riders per train.,Mexicana,105 seconds,700 riders per hour,,,,,,,,,Fastrack available,,,,,,,,,,,,,,,2014-01-01,51.3494,-0.318,Steel,1987-06-07,22.4 mph ,36.0 km/h,22.4,mph,22.4,4.7,m,15.4,0,
Twist Coaster Robin,"313 m (1,027 ft)",62 km/h (39 mph),Yomiuriland,Removed,19 March 2014,Steel,Sansei Technologies,,,19 m (62 ft),2.0,,450 million yen,,,,,3.9,S&S Worldwide,93°,,,,,,,,19 March 2014,,Hashibiro GO!,,,,,,,,,,,2014-01-01,35.6253,139.5194,Steel,2014-03-19,62 km/h ,39 mph,62.0,km/h,38.5,19.0,m,62.3,2,3.9
Baron 1898,"501 m (1,644 ft)",90 km/h (56 mph),Efteling,Operating,"July 1, 2015[1]",Steel – Dive Coaster,Bolliger & Mabillard,52 in (132 cm),Dive Coaster,30 m (98 ft),2.0,Chain lift hill,€ 18 million[2],3 trains with 3 cars. Riders are arranged 6 across in a single row for a total of 18 riders per train.,,130 seconds[3],1000 riders per hour,,,87°,37.5 m (123 ft),,,,,,,,,,,,,,Single rider line available,,,,,,2015-01-01,51.6482,5.0508,Steel,2015-07-01,90 km/h ,56 mph,90.0,km/h,55.9,30.0,m,98.4,2,
Freestyle (roller coaster),"390.99 m (1,282.8 ft)",82 km/h (51 mph),Other,,,Steel – Stand-up,TOGO,140 cm (4 ft 7 in),Stand-up,26.8 m (88 ft),1.0,Chain lift hill,,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,1:32,,,,,25.6 m (84 ft),,,,,,,"September 1, 2014",,Yukon Striker,,,,,,,,,,,2015-01-01,,,Steel,,82 km/h ,51 mph,82.0,km/h,51.0,26.8,m,87.9,1,
The Cú Chulainn Coaster,"1,092 m (3,583 ft)",90 km/h (56 mph),Tayto Park,Operating,6 June 2015,Wood,The Gravity Group,,,32 m (105 ft),0.0,Chain lift hill,"€8,500,000",,,2:45,700 riders per hour,,,,31 m (102 ft),,,,,,,,,,,,,,,,,,,,2015-01-01,53.5427,-6.4628,Wood,2015-06-06,90 km/h ,56 mph,90.0,km/h,55.9,32.0,m,105.0,0,
The Oath of Kärnan,"1,235 m (4,052 ft)",127 km/h (79 mph),Hansa-Park,Operating,"July 1, 2015",Steel,Gerstlauer,130 cm (4 ft 3 in),Hypercoaster,73 m (240 ft),1.0,Chain lift hill,~ 26.000.000 €,3 trains with a single car. Riders are arranged 4 across in 4 rows for a total of 16 riders per train.,,3:37 minutes,~ 200 riders per hour,5,Werner Stengel,90°,67 m (220 ft),,,,Terrain,,,,,,,,,,,,,,,,2015-01-01,54.0769,10.78,Steel,2015-07-01,127 km/h ,79 mph,127.0,km/h,78.9,73.0,m,239.5,1,5.0
Flying Aces (roller coaster),"1,500 m (4,921 ft)",120 km/h (75 mph),Ferrari World Abu Dhabi,Operating,24 February 2016,Steel,Intamin,130 cm (4 ft 3 in),Wing Coaster (Intamin),63 m (207 ft),1.0,Cable lift hill,,2 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,,,"1,008 riders per hour",5,,,,,,,,,,,,,,,,,,,,,,,2016-01-01,,,Steel,2016-02-24,120 km/h ,75 mph,120.0,km/h,74.6,63.0,m,206.7,1,5.0
Formuła (Energylandia),"560 m (1,840 ft)",79.2 km/h (49.2 mph),Energylandia,Operating,25 June 2016,Steel – Launched,Vekoma,120–195[2] cm (3 ft 11 in–6 ft 5 in),Space Warp Launch Coaster,24.7 m (81 ft),3.0,LSM,,2 trains with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,Extreme Zone,,,3.8,,,,,,,,,,,,,,,,,,,,0–100kph (62.1 mph) in 1.2 seconds,,,2016-01-01,,,Steel,2016-06-25,79.2 km/h ,49.2 mph,79.2,km/h,49.2,24.7,m,81.0,3,3.8
Lost Gravity (roller coaster),"680 m (2,230 ft)",87 km/h (54 mph),Walibi Holland,Operating,24 March 2016,Steel,Mack Rides,140 cm (4 ft 7 in),BigDipper,32 m (105 ft),2.0,Chain lift hill,,4 trains with a single car. Riders are arranged 4 across in 2 rows for a total of 8 riders per train.,Zero Zone,2:33,800 riders per hour,4.3,,90°,,,,,,,,,,,,,,,,,,,,,2016-01-01,52.4424,5.7663,Steel,2016-03-24,87 km/h ,54 mph,87.0,km/h,54.1,32.0,m,105.0,2,4.3
The Monster (Adventureland),"762 m (2,500 ft)",105 km/h (65 mph),Adventureland (Iowa),Operating,"June 4, 2016",Steel,Gerstlauer,48 in (122 cm),Infinity Coaster,40.6 m (133 ft),5.0,Vertical Chain Lift Hill,$9 million,,,2 minutes,3 cars - 8 riders each - 720 riders per hour,,,101°,,,,River Rapids Log Flume,Infinity Coaster - Custom,,,,,,,,,,,,,,,,2016-01-01,41.6518,-93.5014,Steel,2016-06-04,105 km/h ,65 mph,105.0,km/h,65.2,40.6,m,133.2,5,
Pulsar (roller coaster),217 m (712 ft),101 km/h (63 mph),Walibi Belgium,Operating,4 June 2016,Steel – Launched – Shuttle,Mack Rides,,PowerSplash,45 m (148 ft),0.0,LSM launch,"€8,500,000",2 trains with a single car. Riders are arranged 4 across in 5 rows for a total of 20 riders per train.,,1:18,950 riders per hour,,,90°,,,,,,,,,,,,,,,,,,,,,2016-01-01,50.6988,4.5903,Steel,2016-06-04,101 km/h ,63 mph,101.0,km/h,62.8,45.0,m,147.6,0,
Taron (roller coaster),"1,320 m (4,330 ft)",117 km/h (73 mph),Phantasialand,Operating,30 June 2016,Steel,Intamin,130 cm (4 ft 3 in),LSM Blitz Coaster,30.0 m (98.4 ft),,LSM,,4 trains with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,Klugheim,,"1,200 riders per hour",,,,,29 June 2016,,Silvermine (Westernstadt),,,29 June 2016,,,,,,,,,,,,,,2016-01-01,50.7996,6.8828,Steel,2016-06-30,117 km/h ,73 mph,117.0,km/h,72.7,30.0,m,98.4,0,
Wildfire (Kolmården Wildlife Park),"1,265 m (4,150 ft)",115 km/h (71 mph),Kolmården Wildlife Park,Operating,28 June 2016,Wood,Rocky Mountain Construction,,Topper Track - Custom,56 m (184 ft),3.0,Chain lift hill,"110 million SEK ($11,990,000 USD as of August 2018)",2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,2:00,960 riders per hour,4 g,Alan Schilke,83°,49 m (161 ft),,,,Terrain,,,,,,Official website,,,,,,,,,,2016-01-01,58.6653,16.4664,Wood,2016-06-28,115 km/h ,71 mph,115.0,km/h,71.5,56.0,m,183.7,3,4.0
DC Rivals HyperCoaster,"1,400.0 m (4,593.2 ft)",115.1 km/h (71.5 mph),Warner Bros. Movie World,Operating,22 September 2017,Steel,Mack Rides,130 cm (4 ft 3 in),Hyper Coaster,61.6 m (202 ft),0.0,Chain,AU$30 million($30 million in 2018 dollars[1]),2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,,960 riders per hour,4.3,,,59.4 m (195 ft),16 September 2017,,,,,16 September 2017,,,,Official website,,,DC Universe,Single rider line available,,,,,,2017-01-01,-27.908,153.314,Steel,2017-09-22,115.1 km/h ,71.5 mph,115.1,km/h,71.5,61.6,m,202.1,0,4.3
Lech Coaster,"908 m (2,979 ft)",95 km/h (59 mph),Legendia,Operating,1 July 2017,Steel,Vekoma,120–195[4] cm (3 ft 11 in–6 ft 5 in),Bermuda Blitz,40 m (131 ft),3.0,Chain lift hill,12 Million Euro,2 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,,1:44[2],1000[3] riders per hour,,,,,,,,,,,,,,,,,,,,,,,,2017-01-01,,,Steel,2017-07-01,95 km/h ,59 mph,95.0,km/h,59.0,40.0,m,131.2,3,
Red Force (roller coaster),"880 m (2,890 ft)",180 km/h (112 mph),Ferrari Land,Operating,7 April 2017,Steel – Launched,Intamin,140–195 cm (4 ft 7 in–6 ft 5 in),,112 m (367 ft),0.0,LSM,,3 cars. Riders are arranged 2 across in 2 rows for a total of 12 riders per train.,,,1200 riders per hour,,,90°,,,,,,,,,,,,,,,,,,0 to 180 km/h (0 to 112 mph) in 5 seconds,,,2017-01-01,,,Steel,2017-04-07,180 km/h ,112 mph,180.0,km/h,111.8,112.0,m,367.5,0,
Star Trek: Operation Enterprise,"720 m (2,360 ft)",90 km/h (56 mph),Movie Park Germany,Operating,14 June 2017,Steel – Launched,Mack Rides,130 cm (4 ft 3 in),,40 m (130 ft),3.0,LSM launch,,5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,,,,,,,,24 May 2017,,,,,24 May 2017,,,,,,,,,,,,,,2017-01-01,51.6223,6.9729,Steel,2017-06-14,90 km/h ,56 mph,90.0,km/h,55.9,40.0,m,131.2,3,
Hyperion (roller coaster),"1,450 m (4,760 ft)",142 km/h (88 mph),Energylandia,Operating,14 July 2018,Steel,Intamin,140–195[3] cm (4 ft 7 in–6 ft 5 in),Mega coaster,77 m (253 ft),1.0,Chain lift hill[2],,2 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,Extreme Zone,,"1,300 riders per hour",4.8[2],,85°,82 m (269 ft),,,,,,,,,,,,,,,,,,,,2018-01-01,,,Steel,2018-07-14,142 km/h ,88 mph,142.0,km/h,88.2,77.0,m,252.6,1,4.8
Dynamite (Freizeitpark Plohn),"500 m (1,600 ft)",100 km/h (62 mph),Freizeitpark Plohn,,"May 18, 2019",Steel,Mack Rides,,BigDipper,44 m (144 ft),3.0,Lift hill,,,,1:08 min,,,,,,,,,,,,,,,,,,,,,,,,,2019-01-01,,,Steel,2019-05-18,100 km/h ,62 mph,100.0,km/h,62.1,44.0,m,144.4,3,
Fury (roller coaster),"600 m (2,000 ft)",106.6 km/h (66.2 mph),Bobbejaanland,Operating,"June 24, 2019",Steel – Launched,Gerstlauer,130 cm (4 ft 3 in),Infinity Coaster,43 m (141 ft),2.0,LSM launch,,2 trains with a single car. Riders are arranged 4 across in 3 rows for a total of 12 riders per train.,,,,,,90°,41.9 m (137 ft),"June 22, 2019",,,,,"June 22, 2019",,,,,,,,,,,,,,2019-01-01,51.1993,4.909,Steel,2019-06-24,106.6 km/h ,66.2 mph,106.6,km/h,66.2,43.0,m,141.1,2,
Hakugei (roller coaster),"1,530 m (5,020 ft)",107 km/h (66 mph),Nagashima Spa Land,Operating,28 March 2019,Steel,Rocky Mountain Construction,130 cm (4 ft 3 in),I-Box Track,55 m (180 ft),3.0,Chain lift hill,"¥2,800,000,000",3 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,,,4,,80°,,,,,,,,,,,Official website,,,,,,,,,,2019-01-01,35.0303,136.7347,Steel,2019-03-28,107 km/h ,66 mph,107.0,km/h,66.5,55.0,m,180.4,3,4.0
Yukon Striker,"1,105 m (3,625 ft)",130 km/h (81 mph),Canada's Wonderland,Operating,3 May 2019,Steel – Dive Coaster,Bolliger & Mabillard,52–77[1] in (132–196 cm),Dive Coaster,68 m (223 ft),4.0,Chain lift hill,,3 trains with 3 cars. Riders are arranged 8 across in a single row for a total of 24 riders per train.,Frontier Canada,3:25,"1,329 riders per hour",,,90°,74.7 m (245 ft),24 April 2019,,SkyRider,,,24 April 2019,,,,,,,,,,,,,,2019-01-01,43.8402,-79.543,Steel,2019-05-03,130 km/h ,81 mph,130.0,km/h,80.8,68.0,m,223.1,4,
Zadra (roller coaster),"1,316 m (4,318 ft)",121 km/h (75 mph),Energylandia,Operating,22 August 2019,Other,Rocky Mountain Construction,140 cm (4 ft 7 in),,62.8 m (206 ft),3.0,Chain lift hill,,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Dragon Zone,1:50,"1,050 riders per hour",4,,90°,,,,,,,,,,,,,,,,,,,,,2019-01-01,50.0019,19.4031,Other,2019-08-22,121 km/h ,75 mph,121.0,km/h,75.2,62.8,m,206.0,3,4.0
Max & Moritz (roller coaster),300 m (980 ft),36 km/h (22 mph),Efteling,Operating,"June 20, 2020",Steel – Powered – Dual-tracked,Mack Rides,100 cm (3 ft 3 in),Powered coaster,6 m (20 ft),0.0,Onboard motors,"€15,000,000",2 trains with 1 locomotive and 9 cars. Riders are arranged 2 across in 2 rows (1 for the locomotive) for a total of 38 riders per train.,Anderrijk,2:30,1800 riders per hour,,Robert-Jaap JansenKarel Willemen,,,"June 4, 2020",,Bob Track,,,"June 4, 2020",,,,Official website,,,Max und Moritz,Single rider line available,,,,,,2020-01-01,51.6481,5.0474,Steel,2020-06-20,36 km/h ,22 mph,36.0,km/h,22.4,6.0,m,19.7,0,
Pitts Special (roller coaster),"693 m (2,274 ft)",100 km/h (62 mph),PowerPark,Operating,"June 24, 2020",Steel,Gerstlauer,130 cm (4 ft 3 in),Infinity Coaster,43.5 m (143 ft),,Vertical chain lift hill,,Single train with 2 cars. Riders are arranged 4 across in a single row for a total of 8 riders per train.,,,,4.5,,85°,,,,,,,,,,,,,,,,,,,,,2020-01-01,63.2307,22.8545,Steel,2020-06-24,100 km/h ,62 mph,100.0,km/h,62.1,43.5,m,142.7,0,4.5
Leviathan (Sea World),"1,000.0 m (3,280.8 ft)",80.0 km/h (49.7 mph),Sea World,Under construction,Easter 2022,Wood,Martin & Vleminckx,,,32 m (105 ft),0.0,Chain lift hill,"$20,000,000[1]",2 trains with 12 cars. Riders are arranged 2 across in a single row for a total of 24 riders per train.,The New Atlantis,,720 riders per hour,,The Gravity Group,,,,,,Twister,,,,,,Official website,,,,,,,,,,2022-01-01,-27.9574,153.4263,Wood,2022-01-01,80.0 km/h ,49.7 mph,80.0,km/h,49.7,32.0,m,105.0,0,
